Source,Target
MMP2,CROHN'S DISEASE
SOD1,CROHN'S DISEASE
HLA-C,CROHN'S DISEASE
ADIPOQ,CROHN'S DISEASE
CD80,CROHN'S DISEASE
IL23A,CROHN'S DISEASE
SLC11A1,CROHN'S DISEASE
IL37,CROHN'S DISEASE
MYDGF,CROHN'S DISEASE
KLRK1,CROHN'S DISEASE
ALB,CROHN'S DISEASE
AOC1,CROHN'S DISEASE
PLA2G1B,CROHN'S DISEASE
IRGM,CROHN'S DISEASE
FOXP3,CROHN'S DISEASE
TP53,CROHN'S DISEASE
IL17A,CROHN'S DISEASE
LCN2,CROHN'S DISEASE
NAMPT,CROHN'S DISEASE
TIMP1,CROHN'S DISEASE
IL17F,CROHN'S DISEASE
ENTPD1,CROHN'S DISEASE
AHSG,CROHN'S DISEASE
AHR,CROHN'S DISEASE
IL12B,CROHN'S DISEASE
CXCL10,CROHN'S DISEASE
NLRP3,CROHN'S DISEASE
FOXO3,CROHN'S DISEASE
PTGER4,CROHN'S DISEASE
GCG,CROHN'S DISEASE
TYK2,CROHN'S DISEASE
TAC1,CROHN'S DISEASE
IGHM,CROHN'S DISEASE
IL1A,CROHN'S DISEASE
IL5,CROHN'S DISEASE
SAA1,CROHN'S DISEASE
HSPA2,CROHN'S DISEASE
TMEM201,CROHN'S DISEASE
ICAM3,CROHN'S DISEASE
CISH,CROHN'S DISEASE
CCR2,CROHN'S DISEASE
HLA-B,CROHN'S DISEASE
IL6R,CROHN'S DISEASE
HLA-DRB1,CROHN'S DISEASE
IL4R,CROHN'S DISEASE
IL33,CROHN'S DISEASE
IGFBP5,CROHN'S DISEASE
BGLAP,CROHN'S DISEASE
GLS,CROHN'S DISEASE
KIR2DL3,CROHN'S DISEASE
MADCAM1,CROHN'S DISEASE
MUC2,CROHN'S DISEASE
MIF,CROHN'S DISEASE
CARD8,CROHN'S DISEASE
GAST,CROHN'S DISEASE
LCT,CROHN'S DISEASE
CSF1R,CROHN'S DISEASE
IL21,CROHN'S DISEASE
MSH2,CROHN'S DISEASE
PTGS1,CROHN'S DISEASE
SSTR5,CROHN'S DISEASE
FUT3,CROHN'S DISEASE
EIF2A,CROHN'S DISEASE
KCNN4,CROHN'S DISEASE
NELFCD,CROHN'S DISEASE
KIR2DL2,CROHN'S DISEASE
MEFV,CROHN'S DISEASE
IBD3,CROHN'S DISEASE
CD40,CROHN'S DISEASE
ARTN,CROHN'S DISEASE
RAF1,CROHN'S DISEASE
MCL1,CROHN'S DISEASE
NCR1,CROHN'S DISEASE
GPX2,CROHN'S DISEASE
RABEPK,CROHN'S DISEASE
LRRK2,CROHN'S DISEASE
TNFRSF6B,CROHN'S DISEASE
IL13,CROHN'S DISEASE
TCF7L2,CROHN'S DISEASE
GP2,CROHN'S DISEASE
RPSA,CROHN'S DISEASE
ACKR2,CROHN'S DISEASE
MIR31,CROHN'S DISEASE
DMBT1,CROHN'S DISEASE
INS,CROHN'S DISEASE
TFF3,CROHN'S DISEASE
NKX2-3,CROHN'S DISEASE
CEACAM6,CROHN'S DISEASE
FUT2,CROHN'S DISEASE
NOX1,CROHN'S DISEASE
CASP8,CROHN'S DISEASE
CXCL9,CROHN'S DISEASE
IL31,CROHN'S DISEASE
TPMT,CROHN'S DISEASE
PGLYRP1,CROHN'S DISEASE
S100A12,CROHN'S DISEASE
TRAF3IP2,CROHN'S DISEASE
IL18RAP,CROHN'S DISEASE
CASP3,CROHN'S DISEASE
PLD2,CROHN'S DISEASE
NCF4,CROHN'S DISEASE
IL26,CROHN'S DISEASE
FFAR4,CROHN'S DISEASE
SEMA4A,CROHN'S DISEASE
SLC22A5,CROHN'S DISEASE
CCR7,CROHN'S DISEASE
CTLA4,CROHN'S DISEASE
CD274,CROHN'S DISEASE
XBP1,CROHN'S DISEASE
CNTNAP3,CROHN'S DISEASE
CCL11,CROHN'S DISEASE
CTNNB1,CROHN'S DISEASE
EXOSC1,CROHN'S DISEASE
IL17C,CROHN'S DISEASE
ANXA1,CROHN'S DISEASE
KLRB1,CROHN'S DISEASE
IRF5,CROHN'S DISEASE
GPBAR1,CROHN'S DISEASE
TGFB2,CROHN'S DISEASE
EIF2AK4,CROHN'S DISEASE
LY75,CROHN'S DISEASE
EIF2S1,CROHN'S DISEASE
CHUK,CROHN'S DISEASE
MIP,CROHN'S DISEASE
NR2C2,CROHN'S DISEASE
ATF4,CROHN'S DISEASE
NFKBIA,CROHN'S DISEASE
PF4,CROHN'S DISEASE
CEACAM5,CROHN'S DISEASE
CNR2,CROHN'S DISEASE
DEFA5,CROHN'S DISEASE
NELL1,CROHN'S DISEASE
LRBA,CROHN'S DISEASE
ARSD,CROHN'S DISEASE
ORMDL3,CROHN'S DISEASE
FAP,CROHN'S DISEASE
GPX1,CROHN'S DISEASE
SLCO6A1,CROHN'S DISEASE
RTN1,CROHN'S DISEASE
MSC,CROHN'S DISEASE
EIM,CROHN'S DISEASE
BDNF,FIBROMYALGIA
TNF,FIBROMYALGIA
GH1,FIBROMYALGIA
HPSE,FIBROMYALGIA
CRP,FIBROMYALGIA
IL6,FIBROMYALGIA
IL1B,FIBROMYALGIA
SCN9A,FIBROMYALGIA
TAC1,FIBROMYALGIA
CRH,FIBROMYALGIA
NGF,FIBROMYALGIA
IGF1,FIBROMYALGIA
PRL,FIBROMYALGIA
CXCL8,FIBROMYALGIA
TKT,FIBROMYALGIA
CAT,FIBROMYALGIA
LEP,FIBROMYALGIA
SLC6A4,FIBROMYALGIA
COMT,FIBROMYALGIA
NPY,FIBROMYALGIA
ZNF77,FIBROMYALGIA
MAP1LC3A,FIBROMYALGIA
ASIC3,FIBROMYALGIA
WAS,FIBROMYALGIA
LXN,FIBROMYALGIA
TNF,GRANULOMATOSIS WITH POLYANGIITIS
PRTN3,GRANULOMATOSIS WITH POLYANGIITIS
MS4A1,GRANULOMATOSIS WITH POLYANGIITIS
IFNA1,GRANULOMATOSIS WITH POLYANGIITIS
IL10,GRANULOMATOSIS WITH POLYANGIITIS
CD28,GRANULOMATOSIS WITH POLYANGIITIS
BPI,GRANULOMATOSIS WITH POLYANGIITIS
FCGR1A,GRANULOMATOSIS WITH POLYANGIITIS
HLA-DPB1,GRANULOMATOSIS WITH POLYANGIITIS
MPO,GRANULOMATOSIS WITH POLYANGIITIS
AAVS1,GRANULOMATOSIS WITH POLYANGIITIS
CCR5,GRANULOMATOSIS WITH POLYANGIITIS
HMGB1,GRANULOMATOSIS WITH POLYANGIITIS
TNFSF13B,GRANULOMATOSIS WITH POLYANGIITIS
ICAM1,GRANULOMATOSIS WITH POLYANGIITIS
CCR4,GRANULOMATOSIS WITH POLYANGIITIS
CD248,GRANULOMATOSIS WITH POLYANGIITIS
IL21,GRANULOMATOSIS WITH POLYANGIITIS
AVP,GRANULOMATOSIS WITH POLYANGIITIS
TNF,HENOCH-SCHONLEIN PURPURA
HLA-DRB1,HENOCH-SCHONLEIN PURPURA
IGAN1,HENOCH-SCHONLEIN PURPURA
CD79A,HENOCH-SCHONLEIN PURPURA
VEGFA,HENOCH-SCHONLEIN PURPURA
IL10,HENOCH-SCHONLEIN PURPURA
FCAR,HENOCH-SCHONLEIN PURPURA
MEFV,HENOCH-SCHONLEIN PURPURA
LCN2,HENOCH-SCHONLEIN PURPURA
IL33,HENOCH-SCHONLEIN PURPURA
IGHA1,HENOCH-SCHONLEIN PURPURA
MMP9,HENOCH-SCHONLEIN PURPURA
HMGB1,HENOCH-SCHONLEIN PURPURA
IGHM,HENOCH-SCHONLEIN PURPURA
VWF,HENOCH-SCHONLEIN PURPURA
EDN1,HENOCH-SCHONLEIN PURPURA
IL6,HENOCH-SCHONLEIN PURPURA
CXCL8,HENOCH-SCHONLEIN PURPURA
ICAM1,KAWASAKI DISEASE
TNF,KAWASAKI DISEASE
MMP9,KAWASAKI DISEASE
IFNG,KAWASAKI DISEASE
FCGR2A,KAWASAKI DISEASE
ANGPT1,KAWASAKI DISEASE
IL6,KAWASAKI DISEASE
CXCL10,KAWASAKI DISEASE
FCGR2B,KAWASAKI DISEASE
CRP,KAWASAKI DISEASE
TGFB1,KAWASAKI DISEASE
IL4,KAWASAKI DISEASE
VEGFA,KAWASAKI DISEASE
FCER2,KAWASAKI DISEASE
HLA-DRB1,KAWASAKI DISEASE
ACE,KAWASAKI DISEASE
S100A12,KAWASAKI DISEASE
CCR5,KAWASAKI DISEASE
CIMT,KAWASAKI DISEASE
IL1B,KAWASAKI DISEASE
IGHM,KAWASAKI DISEASE
FASLG,KAWASAKI DISEASE
IL10,KAWASAKI DISEASE
RETN,KAWASAKI DISEASE
CD209,KAWASAKI DISEASE
CD40LG,KAWASAKI DISEASE
CCL5,KAWASAKI DISEASE
IL2RA,KAWASAKI DISEASE
HSPD1,KAWASAKI DISEASE
GOPC,KAWASAKI DISEASE
ITPKC,KAWASAKI DISEASE
FGF23,KAWASAKI DISEASE
IL1A,KAWASAKI DISEASE
CD79A,KAWASAKI DISEASE
EVA1C,KAWASAKI DISEASE
CCL3L1,KAWASAKI DISEASE
CCL17,KAWASAKI DISEASE
CSF3,KAWASAKI DISEASE
NR3C1,KAWASAKI DISEASE
NOTCH4,KAWASAKI DISEASE
CD40,KAWASAKI DISEASE
CSF1,KAWASAKI DISEASE
ALB,KAWASAKI DISEASE
FN1,KAWASAKI DISEASE
CD8A,KAWASAKI DISEASE
SELL,KAWASAKI DISEASE
TLR2,KAWASAKI DISEASE
ADIPOQ,KAWASAKI DISEASE
MIR200C,KAWASAKI DISEASE
TNNI3,KAWASAKI DISEASE
SELE,KAWASAKI DISEASE
IGHE,KAWASAKI DISEASE
ITGB2,KAWASAKI DISEASE
SMAD6,KAWASAKI DISEASE
CCL2,KAWASAKI DISEASE
HAMP,KAWASAKI DISEASE
BLK,KAWASAKI DISEASE
IL21,KAWASAKI DISEASE
CD2,KAWASAKI DISEASE
NFKB1,KAWASAKI DISEASE
NFKB2,KAWASAKI DISEASE
RELA,KAWASAKI DISEASE
RELB,KAWASAKI DISEASE
REL,KAWASAKI DISEASE
THPO,KAWASAKI DISEASE
CASP3,KAWASAKI DISEASE
CXCL1,KAWASAKI DISEASE
MBL2,KAWASAKI DISEASE
SOD1,LYME DISEASE
IL2RA,LYME DISEASE
RRP1,LYME DISEASE
FN1,LYME DISEASE
PROC,LYME DISEASE
TNF,LYME DISEASE
IL10,LYME DISEASE
TLR2,LYME DISEASE
NAPA,LYME DISEASE
DCN,LYME DISEASE
CFH,LYME DISEASE
NT5C2,LYME DISEASE
MIR155,LYME DISEASE
CLDN11,LYME DISEASE
HTRA1,LYME DISEASE
IL4,LYME DISEASE
RAD51,LYME DISEASE
IGHM,LYME DISEASE
TLR1,LYME DISEASE
IL17A,LYME DISEASE
VHLL,LYME DISEASE
IL1A,LYME DISEASE
POLD3,LYME DISEASE
KARS1,LYME DISEASE
IFNG,LYME DISEASE
IL12A,LYME DISEASE
IL12B,LYME DISEASE
RNR2,LYME DISEASE
ITGAL,LYME DISEASE
UPK3B,LYME DISEASE
IFNA1,LYME DISEASE
CDK5R2,LYME DISEASE
YBX3,LYME DISEASE
YBX1,LYME DISEASE
YBX3,LYME DISEASE
ANXA2,LYME DISEASE
PLAUR,LYME DISEASE
EEF1A1,LYME DISEASE
IL23A,LYME DISEASE
RHBDL2,LYME DISEASE
IL11,LYME DISEASE
CD14,LYME DISEASE
DDX46,LYME DISEASE
SERPINF2,LYME DISEASE
P3H3,LYME DISEASE
HLA-E,LYME DISEASE
TRIM69,LYME DISEASE
TOP2A,LYME DISEASE
IL1B,LYME DISEASE
IL6,LYME DISEASE
MYD88,LYME DISEASE
MMP9,LYME DISEASE
SYK,LYME DISEASE
HSPD1,LYME DISEASE
CCL2,LYME DISEASE
GAPDH,LYME DISEASE
TAC1,LYME DISEASE
EXOSC1,LYME DISEASE
CXCR2,LYME DISEASE
DAG1,LYME DISEASE
PLG,LYME DISEASE
IFNB1,LYME DISEASE
RHOBTB2,LYME DISEASE
CARS1,LYME DISEASE
CARS2,LYME DISEASE
EPO,POLYCYTHEMIA
VEGFA,POLYCYTHEMIA
NFE2,POLYCYTHEMIA
EGLN1,POLYCYTHEMIA
EPOR,POLYCYTHEMIA
JAK2,POLYCYTHEMIA
SLC30A10,POLYCYTHEMIA
ACE,POLYCYTHEMIA
EPAS1,POLYCYTHEMIA
VHL,POLYCYTHEMIA
SENP1,POLYCYTHEMIA
HAMP,POLYCYTHEMIA
ACO1,POLYCYTHEMIA
TFRC,POLYCYTHEMIA
PPP1R12C,POLYCYTHEMIA
HBG2,POLYCYTHEMIA
IL10,PSORIASIS
ADA,PSORIASIS
MIF,PSORIASIS
IL6,PSORIASIS
MMP9,PSORIASIS
TNF,PSORIASIS
CXCL8,PSORIASIS
CP,PSORIASIS
HLA-E,PSORIASIS
HLA-C,PSORIASIS
NFKB1,PSORIASIS
IL4,PSORIASIS
POMC,PSORIASIS
IL12A,PSORIASIS
IL12B,PSORIASIS
VEGFA,PSORIASIS
TNFRSF1A,PSORIASIS
IFNA1,PSORIASIS
TP53,PSORIASIS
PLG,PSORIASIS
IL17B,PSORIASIS
VDR,PSORIASIS
IL23R,PSORIASIS
IL22,PSORIASIS
ITGAL,PSORIASIS
CRP,PSORIASIS
IL1B,PSORIASIS
IL23A,PSORIASIS
ACE,PSORIASIS
IL1A,PSORIASIS
LEP,PSORIASIS
CCR6,PSORIASIS
HLA-DRB4,PSORIASIS
NGF,PSORIASIS
EDN1,PSORIASIS
PTGS2,PSORIASIS
CDKN2A,PSORIASIS
IFNG,PSORIASIS
PPARG,PSORIASIS
IL18,PSORIASIS
NOS2,PSORIASIS
TGFB1,PSORIASIS
CSF2,PSORIASIS
SOD1,PSORIASIS
IL17A,PSORIASIS
LCN2,PSORIASIS
MIR31,PSORIASIS
IL13,PSORIASIS
IL17F,PSORIASIS
BCL2,PSORIASIS
IL2,PSORIASIS
IL2RA,PSORIASIS
FOXP3,PSORIASIS
TAC1,PSORIASIS
EGF,PSORIASIS
HIF1A,PSORIASIS
CCL5,PSORIASIS
IL37,PSORIASIS
PRL,PSORIASIS
AKT1,PSORIASIS
ELANE,PSORIASIS
NOTCH1,PSORIASIS
IL33,PSORIASIS
NFKB1,PSORIASIS
NFKB2,PSORIASIS
RELA,PSORIASIS
RELB,PSORIASIS
REL,PSORIASIS
CD19,PSORIASIS
ICAM1,PSORIASIS
IL17RA,PSORIASIS
TNFAIP3,PSORIASIS
RETN,PSORIASIS
CTNNB1,PSORIASIS
EGFR,PSORIASIS
IL1A,PSORIASIS
CCL2,PSORIASIS
ADIPOQ,PSORIASIS
MIR21,PSORIASIS
CHI3L1,PSORIASIS
STAT3,PSORIASIS
TLR7,PSORIASIS
SPP1,PSORIASIS
MTOR,PSORIASIS
IL21,PSORIASIS
WNT5A,PSORIASIS
TLR4,PSORIASIS
ALOX5,PSORIASIS
PLAT,PSORIASIS
ALB,PSORIASIS
GH1,PSORIASIS
MIR146A,PSORIASIS
HMGB1,PSORIASIS
CXCL10,PSORIASIS
MPO,PSORIASIS
SELE,PSORIASIS
TREM1,PSORIASIS
MIR155,PSORIASIS
RARRES2,PSORIASIS
TLR9,PSORIASIS
SELL,PSORIASIS
TEK,PSORIASIS
PTH,PSORIASIS
ADCY1,PSORIASIS
CDSN,PSORIASIS
CCHCR1,PSORIASIS
SST,PSORIASIS
SERPINB13,PSORIASIS
EIF2AK1,PSORIASIS
HLA-DQA1,PSORIASIS
FAS,PSORIASIS
FASLG,PSORIASIS
IGAN1,PSORIASIS
CRH,PSORIASIS
MVD,PSORIASIS
TGFA,PSORIASIS
PI3,PSORIASIS
TAP2,PSORIASIS
RABEPK,PSORIASIS
ARG1,PSORIASIS
IL20,PSORIASIS
PRKD1,PSORIASIS
S100A14,PSORIASIS
IL19,PSORIASIS
ITGB2,PSORIASIS
TNC,PSORIASIS
VIP,PSORIASIS
JUN,PSORIASIS
HDAC9,PSORIASIS
MAPK3,PSORIASIS
CX3CR1,PSORIASIS
OCLN,PSORIASIS
PLAAT4,PSORIASIS
LYN,PSORIASIS
CLEC7A,PSORIASIS
ZNF750,PSORIASIS
CRHR1,PSORIASIS
DUT,PSORIASIS
FGF7,PSORIASIS
MASP2,PSORIASIS
CD4,PSORIASIS
CCR5,PSORIASIS
LCE3C,PSORIASIS
TLR8,PSORIASIS
S100A9,PSORIASIS
S100B,PSORIASIS
JUNB,PSORIASIS
ADAM33,PSORIASIS
KCNA3,PSORIASIS
BSG,PSORIASIS
PLA2G1B,PSORIASIS
TLR2,PSORIASIS
HLA-G,PSORIASIS
GLP1R,PSORIASIS
FLG,PSORIASIS
IL17C,PSORIASIS
KLRB1,PSORIASIS
KLK7,PSORIASIS
RPTOR,PSORIASIS
NR4A2,PSORIASIS
HLA-B,PSORIASIS
APOE,PSORIASIS
CD2,PSORIASIS
PTPN22,PSORIASIS
CD163,PSORIASIS
ENPEP,PSORIASIS
PPARD,PSORIASIS
KRT10,PSORIASIS
HLA-DRB3,PSORIASIS
HMOX1,PSORIASIS
LCE3B,PSORIASIS
CIMT,PSORIASIS
ELOVL6,PSORIASIS
DEFB4A,PSORIASIS
TJP1,PSORIASIS
IL20RB,PSORIASIS
ERAP1,PSORIASIS
KRT17,PSORIASIS
SMAD7,PSORIASIS
CAV1,PSORIASIS
MMP19,PSORIASIS
CD40LG,PSORIASIS
TAP1,PSORIASIS
JAK1,PSORIASIS
CXCL9,PSORIASIS
KDR,PSORIASIS
IGF1R,PSORIASIS
AREG,PSORIASIS
LEPR,PSORIASIS
IL12B,PSORIASIS
IL9,PSORIASIS
COMT,PSORIASIS
FGF10,PSORIASIS
TGM1,PSORIASIS
S100A8,PSORIASIS
ALOX12,PSORIASIS
AOC1,PSORIASIS
MTHFR,PSORIASIS
SIRT1,PSORIASIS
S100A7,PSORIASIS
NUCB2,PSORIASIS
SOCS3,PSORIASIS
CAMP,PSORIASIS
ARMH1,PSORIASIS
PDE4A,PSORIASIS
MIR1266,PSORIASIS
IFIH1,PSORIASIS
CXCR3,PSORIASIS
ADAM17,PSORIASIS
HSPB3,PSORIASIS
NFKBIA,PSORIASIS
PDC,PSORIASIS
NT5C2,PSORIASIS
HRH4,PSORIASIS
NR4A1,PSORIASIS
GRN,PSORIASIS
PROK2,PSORIASIS
IL27,PSORIASIS
CD274,PSORIASIS
RAC1,PSORIASIS
OSM,PSORIASIS
IL24,PSORIASIS
CD69,PSORIASIS
CD109,PSORIASIS
CD28,PSORIASIS
PEPD,PSORIASIS
CCN1,PSORIASIS
BDNF,PSORIASIS
REL,PSORIASIS
CARD14,PSORIASIS
NFATC1,PSORIASIS
FOSL1,PSORIASIS
TYK2,PSORIASIS
TRAF3IP2,PSORIASIS
MIR203A,PSORIASIS
HPGDS,PSORIASIS
CTSK,PSORIASIS
TSLP,PSORIASIS
ATP6V0A4,PSORIASIS
TRIB3,PSORIASIS
KLK1,PSORIASIS
S100A4,PSORIASIS
HP,PSORIASIS
CKAP4,PSORIASIS
LGALS1,PSORIASIS
GCG,PSORIASIS
IL31,PSORIASIS
TNIP1,PSORIASIS
DUSP1,PSORIASIS
LANCL1,PSORIASIS
PPARA,PSORIASIS
MUC1,PSORIASIS
CXCR4,PSORIASIS
CD6,PSORIASIS
FNDC5,PSORIASIS
CDR3,PSORIASIS
NFE2L2,PSORIASIS
CXCR2,PSORIASIS
CCL20,PSORIASIS
IL16,PSORIASIS
RUNX3,PSORIASIS
PDCD1,PSORIASIS
DPP4,PSORIASIS
IFI16,PSORIASIS
NRIP1,PSORIASIS
IGF1,PSORIASIS
CABIN1,PSORIASIS
CLEC16A,PSORIASIS
PSORS4,PSORIASIS
IGHE,PSORIASIS
KLK8,PSORIASIS
GATA3,PSORIASIS
IL36RN,PSORIASIS
MIR99A,PSORIASIS
MIR491,PSORIASIS
IL22RA2,PSORIASIS
CD79A,PSORIASIS
INSRR,PSORIASIS
CXCL11,PSORIASIS
TREX2,PSORIASIS
SELP,PSORIASIS
GPRIN1,PSORIASIS
ANGPTL6,PSORIASIS
SERPINB3,PSORIASIS
ITLN1,PSORIASIS
PRRT2,PSORIASIS
TRPV1,PSORIASIS
G6PD,PSORIASIS
AKR1B10,PSORIASIS
CCR4,PSORIASIS
CCR9,PSORIASIS
ADAM23,PSORIASIS
CD1A,PSORIASIS
S100A12,PSORIASIS
HAMP,PSORIASIS
CTSS,PSORIASIS
CKLF,PSORIASIS
KRT16,PSORIASIS
IL11,PSORIASIS
GSTT1,PSORIASIS
CCNE1,PSORIASIS
ODC1,PSORIASIS
NDUFB6,PSORIASIS
FLVCR1,PSORIASIS
IL1RN,PSORIASIS
CCN2,PSORIASIS
PRINS,PSORIASIS
CCR2,PSORIASIS
FABP5,PSORIASIS
PRKCA,PSORIASIS
MYOM2,PSORIASIS
CXCL1,PSORIASIS
RHCE,PSORIASIS
TLR3,PSORIASIS
IL15,PSORIASIS
SERPINE1,PSORIASIS
IL36A,PSORIASIS
CCR10,PSORIASIS
IL1RL2,PSORIASIS
PSORS1C1,PSORIASIS
SELPLG,PSORIASIS
CCR1,PSORIASIS
TNFSF11,PSORIASIS
CD80,PSORIASIS
KLK6,PSORIASIS
LPA,PSORIASIS
DEFB104A,PSORIASIS
KIR3DL1,PSORIASIS
MSX2,PSORIASIS
KRT14,PSORIASIS
RPSA,PSORIASIS
PGLYRP2,PSORIASIS
IL36G,PSORIASIS
MIR205,PSORIASIS
EMD,PSORIASIS
KRT5,PSORIASIS
MIR142,PSORIASIS
IFNB1,PSORIASIS
PRS,PSORIASIS
CASP14,PSORIASIS
ETV3,PSORIASIS
MBTPS1,PSORIASIS
NTRK1,PSORIASIS
PML,PSORIASIS
HLA-DRB1,PSORIASIS
MIR135B,PSORIASIS
MIR378A,PSORIASIS
ADAMTSL5,PSORIASIS
TIMP3,PSORIASIS
TRAF6,PSORIASIS
IRAK1,PSORIASIS
LYZ,SARCOIDOSIS
CD80,SARCOIDOSIS
IL12A,SARCOIDOSIS
IL12B,SARCOIDOSIS
TNF,SARCOIDOSIS
CD79A,SARCOIDOSIS
RBM45,SARCOIDOSIS
ACE,SARCOIDOSIS
CD8A,SARCOIDOSIS
MUC1,SARCOIDOSIS
MMP9,SARCOIDOSIS
TIMP2,SARCOIDOSIS
IL6,SARCOIDOSIS
VEGFA,SARCOIDOSIS
SCGB1A1,SARCOIDOSIS
IL18,SARCOIDOSIS
IL2RA,SARCOIDOSIS
POMC,SARCOIDOSIS
FAS,SARCOIDOSIS
CD14,SARCOIDOSIS
AKT1,SARCOIDOSIS
CD86,SARCOIDOSIS
HLA-E,SARCOIDOSIS
IFNG,SARCOIDOSIS
ALB,SARCOIDOSIS
IL1A,SARCOIDOSIS
CCR5,SARCOIDOSIS
MT1JP,SARCOIDOSIS
TAP1,SARCOIDOSIS
CSF2,SARCOIDOSIS
HLA-DRB4,SARCOIDOSIS
EDN1,SARCOIDOSIS
SPP1,SARCOIDOSIS
CD4,SARCOIDOSIS
IL10,SARCOIDOSIS
TP53,SARCOIDOSIS
CXCL8,SARCOIDOSIS
FN1,SARCOIDOSIS
BTNL2,SARCOIDOSIS
B2M,SARCOIDOSIS
TGFB1,SARCOIDOSIS
IL4,SARCOIDOSIS
IL2,SARCOIDOSIS
TAP2,SARCOIDOSIS
ESAT,SARCOIDOSIS
VIP,SARCOIDOSIS
CCL2,SARCOIDOSIS
NOD1,SARCOIDOSIS
PPARG,SARCOIDOSIS
IFNA1,SARCOIDOSIS
TLR9,SARCOIDOSIS
PTH,SARCOIDOSIS
TF,SARCOIDOSIS
IGHM,SARCOIDOSIS
CXCL10,SARCOIDOSIS
NOD2,SARCOIDOSIS
FOXP3,SARCOIDOSIS
STAT1,SARCOIDOSIS
CD274,SARCOIDOSIS
CCL5,SARCOIDOSIS
SST,SARCOIDOSIS
HSPA4,SARCOIDOSIS
THM,SARCOIDOSIS
TST,SARCOIDOSIS
IL27,SARCOIDOSIS
VIM,SARCOIDOSIS
PDCD1,SARCOIDOSIS
IL1B,SARCOIDOSIS
MTOR,SARCOIDOSIS
CRP,SARCOIDOSIS
EPO,SARCOIDOSIS
HLA-B,SARCOIDOSIS
MMP2,SARCOIDOSIS
TNFSF13B,SARCOIDOSIS
SAA1,SARCOIDOSIS
HLA-DRB1,SARCOIDOSIS
CDK9,SARCOIDOSIS
CTLA4,SARCOIDOSIS
HIF1A,SARCOIDOSIS
ADA,SARCOIDOSIS
IL1RN,SARCOIDOSIS
IGAN1,SARCOIDOSIS
FCGR3A,SARCOIDOSIS
CHI3L1,SARCOIDOSIS
HGF,SARCOIDOSIS
SLC11A1,SARCOIDOSIS
NGF,SARCOIDOSIS
TBX21,SARCOIDOSIS
IL17A,SARCOIDOSIS
TLR2,SARCOIDOSIS
NTM,SARCOIDOSIS
AVP,SARCOIDOSIS
ICAM1,SARCOIDOSIS
IFNB1,SARCOIDOSIS
FCGR3B,SARCOIDOSIS
TNFRSF1B,SARCOIDOSIS
FHIT,SARCOIDOSIS
IGHE,SARCOIDOSIS
TLR4,SARCOIDOSIS
CBLIF,SARCOIDOSIS
NFKB1,SARCOIDOSIS
NFKB2,SARCOIDOSIS
RELA,SARCOIDOSIS
RELB,SARCOIDOSIS
REL,SARCOIDOSIS
IL23R,SARCOIDOSIS
TNFRSF13B,SARCOIDOSIS
ITGAE,SARCOIDOSIS
HLA-G,SARCOIDOSIS
MRC1,SARCOIDOSIS
ANXA11,SARCOIDOSIS
MGMT,SARCOIDOSIS
TNFRSF25,SARCOIDOSIS
ING4,SARCOIDOSIS
NELFCD,SARCOIDOSIS
C10orf67,SARCOIDOSIS
ZNF398,SARCOIDOSIS
FCGR2A,SARCOIDOSIS
NDC80,SARCOIDOSIS
THBD,SCLERODERMA
IL12A,SCLERODERMA
IL12B,SCLERODERMA
TNC,SCLERODERMA
F2,SCLERODERMA
IL2,SCLERODERMA
ENG,SCLERODERMA
DCN,SCLERODERMA
HLA-DPB1,SCLERODERMA
VCAM1,SCLERODERMA
TGFB1,SCLERODERMA
CCN2,SCLERODERMA
CXCL10,SCLERODERMA
IL4,SCLERODERMA
ITGAL,SCLERODERMA
FBN1,SCLERODERMA
IL2RA,SCLERODERMA
CTSG,SCLERODERMA
CCL18,SCLERODERMA
FN1,SCLERODERMA
PRL,SCLERODERMA
CCL2,SCLERODERMA
IL37,SCLERODERMA
IL10,SCLERODERMA
ELN,SCLERODERMA
MIR21,SCLERODERMA
IL17B,SCLERODERMA
SPP1,SCLERODERMA
S100A4,SCLERODERMA
PF4,SCLERODERMA
CD19,SCLERODERMA
EDN1,SCLERODERMA
CAV1,SCLERODERMA
VEGFA,SCLERODERMA
MMP12,SCLERODERMA
NGF,SCLERODERMA
TNF,SCLERODERMA
CRP,SCLERODERMA
IL6,SCLERODERMA
SMAD1,SCLERODERMA
IFNG,SCLERODERMA
IL13,SCLERODERMA
NCAM1,SCLERODERMA
HGF,SCLERODERMA
CSF3,SCLERODERMA
ACTA2,SCLERODERMA
PTX3,SCLERODERMA
TOP1,SCLERODERMA
IL21,SCLERODERMA
FLI1,SCLERODERMA
PARP1,SCLERODERMA
ALB,SCLERODERMA
ACE,SCLERODERMA
AGTR1,SCLERODERMA
UTS2,SCLERODERMA
IL1A,SCLERODERMA
PRTN3,SCLERODERMA
ICAM1,SCLERODERMA
TNFSF13B,SCLERODERMA
MPO,SCLERODERMA
COMP,SCLERODERMA
IL1A,SCLERODERMA
MMP1,SCLERODERMA
MMP3,SCLERODERMA
ADIPOQ,SCLERODERMA
EGR1,SCLERODERMA
TNFSF4,SCLERODERMA
LGALS3,SCLERODERMA
MIF,SCLERODERMA
SIRT1,SCLERODERMA
STAT3,SCLERODERMA
IL22,SCLERODERMA
THPO,SCLERODERMA
KITLG,SCLERODERMA
MMP9,SCLERODERMA
ADA,SCLERODERMA
