Source,Target
GRN,AGE RELATED OSTEOPOROSIS
SMAD1,AGE RELATED OSTEOPOROSIS
CXCL8,AGE RELATED OSTEOPOROSIS
MEPE,AGE RELATED OSTEOPOROSIS
ST8,AGE RELATED OSTEOPOROSIS
MGARP,AGE RELATED OSTEOPOROSIS
MPO,ALLERGIC ANGIITIDES
CCL17,ALLERGIC ANGIITIDES
IL5,ALLERGIC ANGIITIDES
VEGFA,ALLERGIC ANGIITIDES
CCL26,ALLERGIC ANGIITIDES
MPO,ANGIITIDES
TNF,ANGIITIDES
CSF3,ANGIITIDES
C3,ANGIITIDES
HLA-DRB1,ANGIITIDES
CD83,ANGIITIDES
IL2,ANGIITIDES
VWF,ANGIITIDES
HSPD1,ANGIITIDES
PRTN3,ANGIITIDES
IL17A,ANGIITIDES
TGFB1,ANGIITIDES
IFNG,ANGIITIDES
CD79A,ANGIITIDES
SELE,ANGIITIDES
IGAN1,ANGIITIDES
C5,ANGIITIDES
IGHM,ANGIITIDES
TNFSF13B,ANGIITIDES
CCL2,ANGIITIDES
UCN,ANGIITIDES
HLA-E,ANGIITIDES
TLR9,ANGIITIDES
IL10,ANGIITIDES
WAS,ANGIITIDES
ICAM1,ANGIITIDES
IL21,ANGIITIDES
IL6,ANGIITIDES
EVA1C,ANGIITIDES
PTX3,ANGIITIDES
SERPINA1,ANGIITIDES
IFNA1,ANGIITIDES
HMGB1,ANGIITIDES
CD40LG,ANGIITIDES
CP,ANGIITIDES
VEGFA,ANGIITIDES
CX3CR1,ANGIITIDES
ACSM3,ANGIITIDES
C5AR1,ANGIITIDES
SSRP1,ANGIITIDES
GYPA,ANGIITIDES
KIR2DS2,ANGIITIDES
WG,ANGIITIDES
ANGPT1,ANGIITIDES
ANGPT2,ANGIITIDES
IL1A,ANGIITIDES
IL2RA,ANGIITIDES
IGHA1,ANGIITIDES
HP,ANGIITIDES
MS4A1,ANGIITIDES
CX3CL1,ANGIITIDES
HSP90B2P,ANGIITIDES
CRP,ANGIITIDES
AAVS1,ANGIITIDES
HLA-DRB4,ANGIITIDES
LTF,ANGIITIDES
PADI4,ANGIITIDES
SEMA4D,ANGIITIDES
APP,ANGIITIDES
AQP4,ANGIITIDES
SERP1,ANGIITIDES
CAMP,ANGIITIDES
SSB,ANGIITIDES
HLA-B,ANKYLOSING SPONDYLARTHRITIDES
MRAP,ANKYLOSING SPONDYLARTHRITIDES
TNF,ANKYLOSING SPONDYLARTHRITIDES
IL23R,ANKYLOSING SPONDYLARTHRITIDES
PEPD,ANKYLOSING SPONDYLARTHRITIDES
CASP1,ANKYLOSING SPONDYLARTHRITIDES
TGFB1,ANKYLOSING SPONDYLARTHRITIDES
HLA-E,ANKYLOSING SPONDYLARTHRITIDES
IL17A,ANKYLOSING SPONDYLARTHRITIDES
CYP2D6,ANKYLOSING SPONDYLARTHRITIDES
TAP1,ANKYLOSING SPONDYLARTHRITIDES
TLR4,ANKYLOSING SPONDYLARTHRITIDES
DKK1,ANKYLOSING SPONDYLARTHRITIDES
CD163,ANKYLOSING SPONDYLARTHRITIDES
MMP3,ANKYLOSING SPONDYLARTHRITIDES
MBL2,ANKYLOSING SPONDYLARTHRITIDES
IL1A,ANKYLOSING SPONDYLARTHRITIDES
ERAP1,ANKYLOSING SPONDYLARTHRITIDES
CRP,ANKYLOSING SPONDYLARTHRITIDES
B2M,ANKYLOSING SPONDYLARTHRITIDES
IL2RA,ANKYLOSING SPONDYLARTHRITIDES
IGHA1,ANKYLOSING SPONDYLARTHRITIDES
IL10,ANKYLOSING SPONDYLARTHRITIDES
MEFV,ANKYLOSING SPONDYLARTHRITIDES
AHSG,ANKYLOSING SPONDYLARTHRITIDES
ERAP2,ANKYLOSING SPONDYLARTHRITIDES
ANTXR2,ANKYLOSING SPONDYLARTHRITIDES
MIR146A,ANKYLOSING SPONDYLARTHRITIDES
BMP2,ANKYLOSING SPONDYLARTHRITIDES
VEGFA,ANKYLOSING SPONDYLARTHRITIDES
TRH,ANKYLOSING SPONDYLARTHRITIDES
HSPD1,ANKYLOSING SPONDYLARTHRITIDES
SCT,ANKYLOSING SPONDYLARTHRITIDES
IL23A,ANKYLOSING SPONDYLARTHRITIDES
SOCS1,ANKYLOSING SPONDYLARTHRITIDES
LEP,ANKYLOSING SPONDYLARTHRITIDES
HLA-DRB4,ANKYLOSING SPONDYLARTHRITIDES
IL37,ANKYLOSING SPONDYLARTHRITIDES
IGAN1,ANKYLOSING SPONDYLARTHRITIDES
CD79A,ANKYLOSING SPONDYLARTHRITIDES
NOD2,ANKYLOSING SPONDYLARTHRITIDES
KIR3DL1,ANKYLOSING SPONDYLARTHRITIDES
PTPN22,ANKYLOSING SPONDYLARTHRITIDES
MSC,ANKYLOSING SPONDYLARTHRITIDES
BMP7,ANKYLOSING SPONDYLARTHRITIDES
IL6,ANKYLOSING SPONDYLARTHRITIDES
TNFRSF11B,ANKYLOSING SPONDYLARTHRITIDES
SOST,ANKYLOSING SPONDYLARTHRITIDES
RNASE3,ANKYLOSING SPONDYLARTHRITIDES
ANKH,ANKYLOSING SPONDYLARTHRITIDES
ALPL,ANKYLOSING SPONDYLARTHRITIDES
HP,ANKYLOSING SPONDYLARTHRITIDES
RETN,ANKYLOSING SPONDYLARTHRITIDES
PDCD1,ANKYLOSING SPONDYLARTHRITIDES
TNFSF11,ANKYLOSING SPONDYLARTHRITIDES
CD40LG,ANKYLOSING SPONDYLARTHRITIDES
CSF2,ANKYLOSING SPONDYLARTHRITIDES
SYNPR,ANKYLOSING SPONDYLARTHRITIDES
IL33,ANKYLOSING SPONDYLARTHRITIDES
IL17RA,ANKYLOSING SPONDYLARTHRITIDES
VIP,ANKYLOSING SPONDYLARTHRITIDES
IL1B,ANKYLOSING SPONDYLARTHRITIDES
ESR1,ANKYLOSING SPONDYLARTHRITIDES
IL18,ANKYLOSING SPONDYLARTHRITIDES
TAP2,ANKYLOSING SPONDYLARTHRITIDES
TNFRSF10A,ANKYLOSING SPONDYLARTHRITIDES
HMGB1,ANKYLOSING SPONDYLARTHRITIDES
GDF15,ANKYLOSING SPONDYLARTHRITIDES
CP,ANKYLOSING SPONDYLARTHRITIDES
EDN1,ANKYLOSING SPONDYLARTHRITIDES
CREG1,ANKYLOSING SPONDYLARTHRITIDES
LIF,ANKYLOSING SPONDYLARTHRITIDES
